ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,resultado_ajustado,ano,mes
2013,2013-01-08,10,Estádio Doutor Osvaldo Texeira Duarte,Grazianni Maciel Rocha,1244.0,21004.0,Portuguesa,Criciúma EC,Guto Ferreira,Vadão,20.0,14.0,4650000.0,5250000.0,29.2,26.4,1,1,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,1
2013,2013-11-10,27,Estádio Doutor Osvaldo Texeira Duarte,Rodrigo Batista Raposo,3353.0,21004.0,Portuguesa,Goiás EC,Guto Ferreira,Enderson Moreira,14.0,11.0,4250000.0,5450000.0,29.5,26.6,1,2,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,11
2013,2013-09-11,33,Estádio Doutor Osvaldo Texeira Duarte,Ricardo Marques Ribeiro,3781.0,,Portuguesa,Coritiba FC,Guto Ferreira,Péricles Chamusca,17.0,13.0,4150000.0,6350000.0,29.1,27.2,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Fora,2013,9
2013,2013-08-12,38,Estádio Doutor Osvaldo Texeira Duarte,Emerson de Almeida Ferreira,4384.0,21004.0,Portuguesa,Grêmio,Guto Ferreira,Renato Gaúcho,17.0,2.0,4200000.0,24550000.0,29.5,27.8,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Fora,2013,8
2013,2013-06-06,4,Estádio General Sílvio Raulino de Oliveira,Raphael Claus,2744.0,,Vasco da Gama,Atlético-MG,Paulo Autuori,Cuca,14.0,9.0,9100000.0,15550000.0,27.2,29.6,2,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,6
2013,2013-07-07,6,Estádio Cícero Pompeu de Toledo,Raphael Claus,11819.0,,São Paulo,Santos FC,Paulo Autuori,Claudinei Oliveira,6.0,14.0,40650000.0,19700000.0,28.6,26.5,0,2,0.0,0.0,,,,,,,,,,,,,,,Fora,Fora,2013,7
2013,2013-06-09,18,Estádio Cícero Pompeu de Toledo,Wagner Reway,33738.0,,São Paulo,Criciúma EC,Paulo Autuori,Sílvio Criciúma,15.0,14.0,20550000.0,4800000.0,26.9,27.2,1,2,0.0,2.0,,,,,,,,,,,,,,,Fora,Fora,2013,6
2013,2013-08-12,38,Estádio Municipal Doutor Novelli Júnior,Pablo dos Santos Alves,9220.0,67428.0,São Paulo,Coritiba FC,Muricy Ramalho,Tcheco,10.0,14.0,21900000.0,5200000.0,27.0,26.5,0,1,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,8
2013,2013-09-08,12,Arena do Grêmio,Paulo Henrique de Godoy Bezerra,14876.0,,Grêmio,Coritiba FC,Renato Gaúcho,Marquinhos Santos,10.0,3.0,21150000.0,7100000.0,28.1,27.2,0,1,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,9
2013,2013-08-09,19,Arena do Grêmio,Jailson Macedo Freitas,19565.0,,Grêmio,Portuguesa,Renato Gaúcho,Guto Ferreira,4.0,18.0,20050000.0,4700000.0,27.7,29.8,3,2,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,8
